Iteration	Likelihood	Prior	p	r
46800	-1.807793	-0.6942743	0.2996859	0.2996859
46900	-1.771181	-1.632676	0.3935261	0.3935261
47000	-5.046254	1.055629	0.1246956	0.1246956
47100	-3.20183	0.4475243	0.1855061	0.1855061
47200	-2.647308	0.1518651	0.215072	0.215072
47300	-1.808083	-0.6936706	0.2996256	0.2996256
47400	-1.711128	-0.9836796	0.3286265	0.3286265
47500	-1.88649	-0.5524957	0.2855081	0.2855081
47600	-2.112524	-0.2691715	0.2571757	0.2571757
47700	-1.730215	-0.9016014	0.3204186	0.3204186
47800	-1.804049	-0.7021513	0.3004736	0.3004736
47900	-2.316919	-0.08285338	0.2385438	0.2385438
48000	-1.703206	-1.367688	0.3670273	0.3670273
48100	-3.188532	0.4413977	0.1861187	0.1861187
48200	-3.424278	0.544695	0.175789	0.175789
48300	-1.703061	-1.030615	0.33332	0.33332
48400	-1.796883	-1.698388	0.4000973	0.4000973
48500	-1.982996	-0.4165147	0.27191	0.27191
48600	-1.71603	-0.9597658	0.3262351	0.3262351
48700	-4.284276	0.8492279	0.1453357	0.1453357
48800	-3.506483	0.5782954	0.172429	0.172429
48900	-3.981624	0.7526393	0.1549946	0.1549946
49000	-1.738906	-0.8712542	0.3173839	0.3173839
49100	-1.693976	-1.284837	0.3587422	0.3587422
49200	-1.918523	-0.503927	0.2806512	0.2806512
49300	-2.013792	-2.080255	0.4382841	0.4382841
49400	-1.690713	-1.210186	0.3512771	0.3512771
49500	-2.068755	-0.3156354	0.2618221	0.2618221
49600	-1.884549	-0.5555734	0.2858158	0.2858158
49700	-1.691648	-1.245361	0.3547946	0.3547946
49800	-2.342423	-0.06232225	0.2364907	0.2364907
49900	-1.740813	-0.8649841	0.3167569	0.3167569
50000	-3.16997	0.4327811	0.1869804	0.1869804
50100	-2.712866	0.1919982	0.2110587	0.2110587
50200	-1.708614	-0.9970919	0.3299677	0.3299677
50300	-1.994858	-0.4016461	0.2704231	0.2704231
50400	-2.02533	-0.3648839	0.2667469	0.2667469
50500	-2.190934	-0.1924637	0.2495049	0.2495049
50600	-1.691196	-1.232974	0.3535559	0.3535559
50700	-1.752104	-0.8301629	0.3132748	0.3132748
50800	-1.976931	-0.4242478	0.2726833	0.2726833
50900	-2.582876	0.110651	0.2191934	0.2191934
51000	-2.320162	-0.08021449	0.23828	0.23828
